O*NET-SOC Code,Title,abilities_importance_ranked,abilities_level_ranked,abilities_arm-hand_steadiness_importance,abilities_arm-hand_steadiness_level,abilities_auditory_attention_importance,abilities_auditory_attention_level,abilities_category_flexibility_importance,abilities_category_flexibility_level,abilities_control_precision_importance,abilities_control_precision_level,abilities_deductive_reasoning_importance,abilities_deductive_reasoning_level,abilities_depth_perception_importance,abilities_depth_perception_level,abilities_dynamic_flexibility_importance,abilities_dynamic_flexibility_level,abilities_dynamic_strength_importance,abilities_dynamic_strength_level,abilities_explosive_strength_importance,abilities_explosive_strength_level,abilities_extent_flexibility_importance,abilities_extent_flexibility_level,abilities_far_vision_importance,abilities_far_vision_level,abilities_finger_dexterity_importance,abilities_finger_dexterity_level,abilities_flexibility_of_closure_importance,abilities_flexibility_of_closure_level,abilities_fluency_of_ideas_importance,abilities_fluency_of_ideas_level,abilities_glare_sensitivity_importance,abilities_glare_sensitivity_level,abilities_gross_body_coordination_importance,abilities_gross_body_coordination_level,abilities_gross_body_equilibrium_importance,abilities_gross_body_equilibrium_level,abilities_hearing_sensitivity_importance,abilities_hearing_sensitivity_level,abilities_inductive_reasoning_importance,abilities_inductive_reasoning_level,abilities_information_ordering_importance,abilities_information_ordering_level,abilities_manual_dexterity_importance,abilities_manual_dexterity_level,abilities_mathematical_reasoning_importance,abilities_mathematical_reasoning_level,abilities_memorization_importance,abilities_memorization_level,abilities_multilimb_coordination_importance,abilities_multilimb_coordination_level,abilities_near_vision_importance,abilities_near_vision_level,abilities_night_vision_importance,abilities_night_vision_level,abilities_number_facility_importance,abilities_number_facility_level,abilities_oral_comprehension_importance,abilities_oral_comprehension_level,abilities_oral_expression_importance,abilities_oral_expression_level,abilities_originality_importance,abilities_originality_level,abilities_perceptual_speed_importance,abilities_perceptual_speed_level,abilities_peripheral_vision_importance,abilities_peripheral_vision_level,abilities_problem_sensitivity_importance,abilities_problem_sensitivity_level,abilities_rate_control_importance,abilities_rate_control_level,abilities_reaction_time_importance,abilities_reaction_time_level,abilities_response_orientation_importance,abilities_response_orientation_level,abilities_selective_attention_importance,abilities_selective_attention_level,abilities_sound_localization_importance,abilities_sound_localization_level,abilities_spatial_orientation_importance,abilities_spatial_orientation_level,abilities_speech_clarity_importance,abilities_speech_clarity_level,abilities_speech_recognition_importance,abilities_speech_recognition_level,abilities_speed_of_closure_importance,abilities_speed_of_closure_level,abilities_speed_of_limb_movement_importance,abilities_speed_of_limb_movement_level,abilities_stamina_importance,abilities_stamina_level,abilities_static_strength_importance,abilities_static_strength_level,abilities_time_sharing_importance,abilities_time_sharing_level,abilities_trunk_strength_importance,abilities_trunk_strength_level,abilities_visual_color_discrimination_importance,abilities_visual_color_discrimination_level,abilities_visualization_importance,abilities_visualization_level,abilities_wrist-finger_speed_importance,abilities_wrist-finger_speed_level,abilities_written_comprehension_importance,abilities_written_comprehension_level,abilities_written_expression_importance,abilities_written_expression_level
43-2021.00,Telephone Operators,oral_expression|oral_comprehension|speech_recognition|speech_clarity|near_vision|problem_sensitivity|written_comprehension|selective_attention|deductive_reasoning|inductive_reasoning|information_ordering|written_expression|finger_dexterity|auditory_attention|category_flexibility|flexibility_of_closure|perceptual_speed|hearing_sensitivity|speed_of_closure|time_sharing|arm-hand_steadiness|manual_dexterity|memorization|control_precision|mathematical_reasoning|far_vision|trunk_strength|visual_color_discrimination|fluency_of_ideas|reaction_time|originality|number_facility|rate_control|visualization|wrist-finger_speed|depth_perception|response_orientation|dynamic_strength|dynamic_flexibility|gross_body_coordination|gross_body_equilibrium|extent_flexibility|static_strength|multilimb_coordination|night_vision|peripheral_vision|stamina|glare_sensitivity|spatial_orientation|sound_localization|explosive_strength|speed_of_limb_movement,speech_recognition|speech_clarity|oral_expression|oral_comprehension|selective_attention|written_comprehension|near_vision|problem_sensitivity|inductive_reasoning|written_expression|deductive_reasoning|information_ordering|finger_dexterity|category_flexibility|speed_of_closure|flexibility_of_closure|auditory_attention|hearing_sensitivity|time_sharing|perceptual_speed|originality|far_vision|fluency_of_ideas|arm-hand_steadiness|control_precision|memorization|mathematical_reasoning|manual_dexterity|number_facility|trunk_strength|visual_color_discrimination|reaction_time|visualization|rate_control|wrist-finger_speed|depth_perception|dynamic_strength|response_orientation|gross_body_coordination|gross_body_equilibrium|speed_of_limb_movement|dynamic_flexibility|extent_flexibility|night_vision|peripheral_vision|stamina|glare_sensitivity|multilimb_coordination|static_strength|sound_localization|spatial_orientation|explosive_strength,2.0,1.62,2.5,2.0,2.5,2.25,2.0,1.62,2.88,2.62,1.5,0.5,1.0,0.0,1.5,0.5,1.0,0.0,1.0,0.0,2.0,1.75,2.62,2.38,2.5,2.12,1.88,1.75,1.0,0.0,1.0,0.0,1.0,0.0,2.12,2.0,2.88,2.75,2.75,2.62,2.0,1.38,2.0,1.38,2.0,1.5,1.0,0.0,3.0,2.88,1.0,0.0,1.88,1.38,4.0,3.62,4.12,3.75,1.88,1.75,2.25,2.0,1.0,0.0,3.0,2.88,1.62,0.75,1.88,1.12,1.5,0.5,3.0,3.0,1.0,0.0,1.0,0.0,4.0,3.75,4.0,4.12,2.12,2.12,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.88,1.25,1.88,1.12,1.62,0.88,1.62,0.62,3.0,3.0,2.75,2.62
43-3011.00,Bill and Account Collectors,oral_comprehension|oral_expression|written_comprehension|speech_recognition|speech_clarity|written_expression|near_vision|selective_attention|category_flexibility|problem_sensitivity|deductive_reasoning|inductive_reasoning|information_ordering|number_facility|mathematical_reasoning|perceptual_speed|originality|fluency_of_ideas|far_vision|flexibility_of_closure|time_sharing|visualization|hearing_sensitivity|finger_dexterity|auditory_attention|memorization|visual_color_discrimination|speed_of_closure|depth_perception|trunk_strength|manual_dexterity|control_precision|arm-hand_steadiness|wrist-finger_speed|dynamic_strength|glare_sensitivity|sound_localization|peripheral_vision|night_vision|reaction_time|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|speed_of_limb_movement|rate_control|multilimb_coordination|spatial_orientation|response_orientation,oral_comprehension|oral_expression|written_comprehension|written_expression|near_vision|inductive_reasoning|category_flexibility|speech_recognition|selective_attention|speech_clarity|problem_sensitivity|information_ordering|deductive_reasoning|flexibility_of_closure|number_facility|fluency_of_ideas|mathematical_reasoning|originality|far_vision|perceptual_speed|memorization|speed_of_closure|auditory_attention|time_sharing|visualization|hearing_sensitivity|finger_dexterity|visual_color_discrimination|arm-hand_steadiness|depth_perception|trunk_strength|control_precision|manual_dexterity|wrist-finger_speed|dynamic_strength|glare_sensitivity|sound_localization|peripheral_vision|night_vision|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,1.38,0.75,2.12,2.12,3.0,3.0,1.38,0.5,2.88,2.88,1.5,0.75,1.0,0.0,1.12,0.12,1.0,0.0,1.0,0.0,2.5,2.62,2.12,1.75,2.38,2.88,2.5,2.75,1.0,0.0,1.0,0.0,1.0,0.0,2.12,2.0,2.88,3.12,2.88,2.88,1.38,0.5,2.62,2.62,2.12,2.12,1.0,0.0,3.25,3.5,1.0,0.0,2.75,2.75,3.75,3.88,3.75,3.88,2.5,2.62,2.62,2.62,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.62,3.0,3.62,3.0,2.0,2.12,1.0,0.0,1.0,0.0,1.0,0.0,2.25,2.12,1.38,0.62,2.0,1.5,2.12,2.0,1.25,0.38,3.62,3.75,3.5,3.5
43-3021.00,Billing and Posting Clerks,near_vision|information_ordering|written_comprehension|oral_expression|oral_comprehension|speech_recognition|number_facility|mathematical_reasoning|category_flexibility|speech_clarity|inductive_reasoning|problem_sensitivity|written_expression|deductive_reasoning|selective_attention|flexibility_of_closure|perceptual_speed|time_sharing|memorization|speed_of_closure|trunk_strength|originality|hearing_sensitivity|auditory_attention|far_vision|fluency_of_ideas|wrist-finger_speed|visualization|visual_color_discrimination|dynamic_strength|finger_dexterity|manual_dexterity|arm-hand_steadiness|control_precision|sound_localization|glare_sensitivity|depth_perception|peripheral_vision|night_vision|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,near_vision|oral_expression|oral_comprehension|written_comprehension|information_ordering|speech_recognition|number_facility|category_flexibility|speech_clarity|inductive_reasoning|problem_sensitivity|written_expression|deductive_reasoning|mathematical_reasoning|selective_attention|flexibility_of_closure|perceptual_speed|speed_of_closure|time_sharing|fluency_of_ideas|trunk_strength|auditory_attention|far_vision|memorization|originality|wrist-finger_speed|visualization|finger_dexterity|hearing_sensitivity|visual_color_discrimination|dynamic_strength|manual_dexterity|arm-hand_steadiness|control_precision|sound_localization|glare_sensitivity|depth_perception|peripheral_vision|night_vision|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,1.38,0.5,2.0,1.88,3.0,3.0,1.38,0.38,3.0,3.0,1.0,0.0,1.0,0.0,1.75,0.75,1.0,0.0,1.0,0.0,2.0,1.88,1.5,1.0,2.5,2.5,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,3.5,3.0,1.5,0.5,3.0,2.88,2.12,1.88,1.0,0.0,3.75,3.75,1.0,0.0,3.0,3.0,3.12,3.5,3.38,3.62,2.0,1.75,2.5,2.5,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.62,1.0,0.0,1.0,0.0,3.0,3.0,3.12,3.0,2.12,2.12,1.0,0.0,1.0,0.0,1.0,0.0,2.25,2.12,2.12,2.0,1.88,1.0,1.88,1.5,1.88,1.75,3.5,3.12,3.0,3.0
43-3031.00,"Bookkeeping, Accounting, and Auditing Clerks",oral_comprehension|near_vision|written_comprehension|mathematical_reasoning|written_expression|oral_expression|problem_sensitivity|number_facility|speech_recognition|inductive_reasoning|information_ordering|category_flexibility|selective_attention|speech_clarity|deductive_reasoning|perceptual_speed|flexibility_of_closure|far_vision|finger_dexterity|memorization|speed_of_closure|fluency_of_ideas|arm-hand_steadiness|manual_dexterity|time_sharing|control_precision|visualization|auditory_attention|originality|hearing_sensitivity|visual_color_discrimination|trunk_strength|wrist-finger_speed|dynamic_strength|explosive_strength|stamina|spatial_orientation|sound_localization|multilimb_coordination|rate_control|glare_sensitivity|depth_perception|peripheral_vision|night_vision|reaction_time|speed_of_limb_movement|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|response_orientation,oral_comprehension|near_vision|written_comprehension|number_facility|mathematical_reasoning|oral_expression|written_expression|inductive_reasoning|speech_clarity|information_ordering|deductive_reasoning|speech_recognition|problem_sensitivity|category_flexibility|selective_attention|flexibility_of_closure|perceptual_speed|finger_dexterity|far_vision|memorization|speed_of_closure|time_sharing|fluency_of_ideas|visualization|originality|control_precision|manual_dexterity|arm-hand_steadiness|visual_color_discrimination|auditory_attention|trunk_strength|hearing_sensitivity|wrist-finger_speed|dynamic_strength|sound_localization|glare_sensitivity|depth_perception|peripheral_vision|night_vision|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,2.0,1.75,1.88,1.25,3.12,3.0,2.0,1.75,3.0,3.12,1.0,0.0,1.0,0.0,1.38,0.5,1.0,0.0,1.0,0.0,2.62,2.38,2.5,2.38,2.75,2.88,2.12,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.75,1.0,3.12,3.25,3.12,3.12,2.0,1.75,3.88,3.88,2.38,2.25,1.0,0.0,3.88,4.0,1.0,0.0,3.5,3.88,4.0,4.0,3.5,3.75,1.88,1.75,2.88,2.88,1.0,0.0,3.5,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.88,1.0,0.0,1.0,0.0,3.0,3.25,3.12,3.12,2.25,2.25,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.75,1.25,1.75,1.5,2.0,1.75,1.62,0.88,3.88,3.88,3.62,3.62
43-3041.00,Gambling Cage Workers,oral_comprehension|near_vision|oral_expression|speech_clarity|problem_sensitivity|mathematical_reasoning|number_facility|deductive_reasoning|information_ordering|speech_recognition|selective_attention|written_comprehension|written_expression|inductive_reasoning|perceptual_speed|trunk_strength|category_flexibility|memorization|flexibility_of_closure|time_sharing|auditory_attention|extent_flexibility|finger_dexterity|originality|stamina|fluency_of_ideas|manual_dexterity|arm-hand_steadiness|far_vision|gross_body_coordination|dynamic_strength|visual_color_discrimination|control_precision|static_strength|multilimb_coordination|visualization|speed_of_closure|gross_body_equilibrium|hearing_sensitivity|wrist-finger_speed|explosive_strength|depth_perception|speed_of_limb_movement|rate_control|reaction_time|spatial_orientation|response_orientation|peripheral_vision|glare_sensitivity|night_vision|dynamic_flexibility|sound_localization,oral_expression|oral_comprehension|near_vision|speech_recognition|problem_sensitivity|deductive_reasoning|information_ordering|written_comprehension|selective_attention|speech_clarity|inductive_reasoning|written_expression|category_flexibility|number_facility|perceptual_speed|auditory_attention|time_sharing|trunk_strength|mathematical_reasoning|memorization|flexibility_of_closure|speed_of_closure|manual_dexterity|far_vision|fluency_of_ideas|arm-hand_steadiness|finger_dexterity|control_precision|extent_flexibility|originality|stamina|visual_color_discrimination|static_strength|multilimb_coordination|visualization|gross_body_coordination|dynamic_strength|hearing_sensitivity|gross_body_equilibrium|wrist-finger_speed|explosive_strength|depth_perception|speed_of_limb_movement|rate_control|reaction_time|spatial_orientation|response_orientation|dynamic_flexibility|night_vision|peripheral_vision|glare_sensitivity|sound_localization,2.12,2.12,2.38,2.75,2.88,2.88,2.0,2.0,3.25,3.12,1.38,0.38,1.0,0.0,2.0,1.0,1.38,0.38,2.25,2.0,2.12,2.12,2.25,2.0,2.5,2.12,2.12,2.12,1.0,0.0,2.0,1.12,1.62,0.62,1.62,0.88,3.0,3.0,3.25,3.0,2.12,2.12,3.62,2.5,2.62,2.25,2.0,1.5,3.88,3.5,1.0,0.0,3.62,2.88,3.88,3.75,3.88,3.88,2.12,1.88,2.88,2.88,1.0,0.0,3.62,3.12,1.25,0.25,1.12,0.12,1.12,0.12,3.12,3.0,1.0,0.0,1.12,0.12,3.75,3.0,3.25,3.12,2.0,2.12,1.25,0.38,2.12,1.88,2.0,1.5,2.38,2.75,2.88,2.62,2.0,1.62,2.0,1.5,1.5,0.5,3.12,3.0,3.0,3.0
43-3051.00,Payroll and Timekeeping Clerks,oral_comprehension|written_comprehension|written_expression|near_vision|oral_expression|mathematical_reasoning|information_ordering|number_facility|problem_sensitivity|deductive_reasoning|inductive_reasoning|selective_attention|speech_recognition|speech_clarity|perceptual_speed|category_flexibility|flexibility_of_closure|fluency_of_ideas|originality|memorization|far_vision|speed_of_closure|auditory_attention|visual_color_discrimination|hearing_sensitivity|finger_dexterity|manual_dexterity|time_sharing|visualization|trunk_strength|arm-hand_steadiness|wrist-finger_speed|control_precision|dynamic_strength|explosive_strength|stamina|spatial_orientation|sound_localization|multilimb_coordination|rate_control|glare_sensitivity|depth_perception|peripheral_vision|night_vision|reaction_time|speed_of_limb_movement|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|response_orientation,oral_comprehension|oral_expression|written_comprehension|near_vision|written_expression|mathematical_reasoning|number_facility|problem_sensitivity|speech_recognition|speech_clarity|information_ordering|inductive_reasoning|deductive_reasoning|category_flexibility|selective_attention|flexibility_of_closure|perceptual_speed|originality|time_sharing|far_vision|fluency_of_ideas|speed_of_closure|memorization|visualization|finger_dexterity|trunk_strength|auditory_attention|visual_color_discrimination|hearing_sensitivity|manual_dexterity|wrist-finger_speed|arm-hand_steadiness|control_precision|dynamic_strength|glare_sensitivity|depth_perception|peripheral_vision|night_vision|sound_localization|static_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|speed_of_limb_movement|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,1.88,0.88,2.0,1.25,2.88,2.88,1.5,0.5,3.12,3.0,1.0,0.0,1.0,0.0,1.38,0.38,1.0,0.0,1.0,0.0,2.12,2.12,2.0,1.62,2.75,2.62,2.12,2.12,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.12,3.12,3.0,3.38,3.12,2.0,1.0,3.5,3.38,2.12,2.0,1.0,0.0,3.75,3.75,1.0,0.0,3.38,3.38,3.88,3.88,3.62,3.88,2.12,2.12,2.88,2.62,1.0,0.0,3.25,3.25,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.88,1.0,0.0,1.0,0.0,3.0,3.12,3.0,3.12,2.0,2.12,1.0,0.0,1.0,0.0,1.0,0.0,2.0,2.12,2.0,1.5,2.0,1.12,2.0,1.75,1.75,0.88,3.88,3.88,3.75,3.5
43-3061.00,Procurement Clerks,oral_comprehension|oral_expression|near_vision|written_comprehension|information_ordering|written_expression|speech_clarity|deductive_reasoning|problem_sensitivity|inductive_reasoning|speech_recognition|mathematical_reasoning|category_flexibility|fluency_of_ideas|selective_attention|perceptual_speed|time_sharing|number_facility|originality|flexibility_of_closure|speed_of_closure|far_vision|visualization|auditory_attention|visual_color_discrimination|memorization|hearing_sensitivity|trunk_strength|arm-hand_steadiness|manual_dexterity|finger_dexterity|dynamic_strength|extent_flexibility|wrist-finger_speed|static_strength|multilimb_coordination|explosive_strength|peripheral_vision|spatial_orientation|sound_localization|control_precision|glare_sensitivity|depth_perception|night_vision|stamina|rate_control|reaction_time|speed_of_limb_movement|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|response_orientation,oral_expression|written_comprehension|oral_comprehension|near_vision|written_expression|problem_sensitivity|deductive_reasoning|information_ordering|speech_recognition|speech_clarity|inductive_reasoning|mathematical_reasoning|category_flexibility|number_facility|fluency_of_ideas|selective_attention|originality|flexibility_of_closure|perceptual_speed|speed_of_closure|time_sharing|memorization|far_vision|auditory_attention|visual_color_discrimination|hearing_sensitivity|visualization|trunk_strength|finger_dexterity|manual_dexterity|arm-hand_steadiness|extent_flexibility|dynamic_strength|static_strength|multilimb_coordination|wrist-finger_speed|explosive_strength|peripheral_vision|spatial_orientation|sound_localization|control_precision|glare_sensitivity|depth_perception|night_vision|stamina|rate_control|reaction_time|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|speed_of_limb_movement|response_orientation,1.62,0.62,2.0,1.5,3.0,2.88,1.0,0.0,3.5,3.12,1.0,0.0,1.0,0.0,1.5,0.5,1.25,0.25,1.5,0.5,2.12,1.62,1.62,0.62,2.25,2.12,2.88,2.38,1.0,0.0,1.0,0.0,1.0,0.0,1.88,1.25,3.5,3.0,3.75,3.0,1.62,0.62,3.12,2.88,2.0,1.88,1.5,0.5,3.88,3.88,1.0,0.0,2.5,2.5,4.0,3.88,4.0,4.0,2.38,2.25,2.75,2.12,1.0,0.0,3.5,3.12,1.0,0.0,1.0,0.0,1.0,0.0,2.88,2.38,1.0,0.0,1.0,0.0,3.62,3.0,3.38,3.0,2.12,2.0,1.0,0.0,1.0,0.0,1.5,0.5,2.5,2.0,1.75,1.12,2.0,1.38,2.0,1.25,1.5,0.5,3.88,4.0,3.75,3.12
43-3071.00,Tellers,oral_comprehension|number_facility|oral_expression|speech_recognition|speech_clarity|information_ordering|problem_sensitivity|near_vision|written_expression|selective_attention|written_comprehension|deductive_reasoning|mathematical_reasoning|inductive_reasoning|category_flexibility|perceptual_speed|time_sharing|flexibility_of_closure|fluency_of_ideas|far_vision|arm-hand_steadiness|finger_dexterity|speed_of_closure|control_precision|visual_color_discrimination|originality|trunk_strength|auditory_attention|manual_dexterity|visualization|memorization|multilimb_coordination|wrist-finger_speed|hearing_sensitivity|static_strength|reaction_time|rate_control|gross_body_coordination|extent_flexibility|stamina|dynamic_strength|depth_perception|speed_of_limb_movement|response_orientation|gross_body_equilibrium|explosive_strength|dynamic_flexibility|night_vision|peripheral_vision|glare_sensitivity|sound_localization|spatial_orientation,oral_expression|oral_comprehension|speech_recognition|speech_clarity|near_vision|problem_sensitivity|deductive_reasoning|inductive_reasoning|number_facility|written_comprehension|written_expression|information_ordering|category_flexibility|mathematical_reasoning|selective_attention|time_sharing|perceptual_speed|far_vision|flexibility_of_closure|fluency_of_ideas|finger_dexterity|originality|speed_of_closure|visual_color_discrimination|arm-hand_steadiness|manual_dexterity|memorization|trunk_strength|visualization|control_precision|multilimb_coordination|wrist-finger_speed|auditory_attention|static_strength|hearing_sensitivity|depth_perception|rate_control|reaction_time|dynamic_strength|response_orientation|gross_body_coordination|extent_flexibility|stamina|speed_of_limb_movement|explosive_strength|gross_body_equilibrium|dynamic_flexibility|night_vision|peripheral_vision|glare_sensitivity|sound_localization|spatial_orientation,2.75,2.12,2.12,1.62,3.0,3.0,2.38,2.0,3.12,3.25,1.62,1.0,1.0,0.0,1.62,0.88,1.25,0.38,1.62,0.75,2.75,2.62,2.75,2.38,2.88,2.62,2.88,2.38,1.0,0.0,1.75,0.75,1.25,0.25,2.0,1.5,3.0,3.12,3.62,3.0,2.12,2.12,3.12,3.0,2.12,2.12,2.0,1.88,3.5,3.38,1.0,0.0,3.88,3.12,4.0,3.75,3.88,3.88,2.25,2.25,3.0,2.75,1.0,0.0,3.62,3.25,1.88,1.0,1.88,0.88,1.5,0.88,3.25,3.0,1.0,0.0,1.0,0.0,3.75,3.62,3.88,3.62,2.5,2.25,1.5,0.5,1.62,0.75,2.0,1.5,2.88,2.88,2.25,2.0,2.25,2.25,2.12,2.0,2.0,1.62,3.25,3.12,3.25,3.0
43-4011.00,Brokerage Clerks,oral_comprehension|oral_expression|written_comprehension|near_vision|speech_recognition|speech_clarity|written_expression|information_ordering|problem_sensitivity|deductive_reasoning|number_facility|selective_attention|mathematical_reasoning|inductive_reasoning|flexibility_of_closure|category_flexibility|finger_dexterity|time_sharing|perceptual_speed|originality|far_vision|fluency_of_ideas|speed_of_closure|memorization|auditory_attention|visualization|arm-hand_steadiness|control_precision|hearing_sensitivity|visual_color_discrimination|manual_dexterity|depth_perception|wrist-finger_speed|trunk_strength|dynamic_strength|night_vision|spatial_orientation|sound_localization|multilimb_coordination|rate_control|glare_sensitivity|reaction_time|peripheral_vision|speed_of_limb_movement|static_strength|explosive_strength|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|response_orientation,oral_expression|oral_comprehension|near_vision|number_facility|speech_recognition|written_comprehension|deductive_reasoning|written_expression|speech_clarity|inductive_reasoning|problem_sensitivity|information_ordering|mathematical_reasoning|category_flexibility|selective_attention|far_vision|flexibility_of_closure|time_sharing|finger_dexterity|perceptual_speed|speed_of_closure|originality|fluency_of_ideas|memorization|visualization|auditory_attention|visual_color_discrimination|hearing_sensitivity|arm-hand_steadiness|manual_dexterity|control_precision|depth_perception|wrist-finger_speed|trunk_strength|glare_sensitivity|peripheral_vision|night_vision|sound_localization|gross_body_equilibrium|speed_of_limb_movement|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|dynamic_strength|explosive_strength|static_strength|reaction_time|rate_control|multilimb_coordination|spatial_orientation|response_orientation,2.0,1.62,2.12,2.0,2.88,3.0,2.0,1.62,3.25,3.75,1.62,0.62,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.62,2.75,2.88,2.62,2.88,2.75,2.62,2.38,1.0,0.0,1.0,0.0,1.0,0.0,2.0,1.88,3.12,3.12,3.5,3.0,2.0,1.62,3.12,3.0,2.5,2.38,1.0,0.0,3.75,3.88,1.0,0.0,3.12,3.75,4.0,3.88,3.88,4.0,2.62,2.38,2.75,2.62,1.0,0.0,3.38,3.12,1.0,0.0,1.0,0.0,1.0,0.0,3.12,3.0,1.0,0.0,1.0,0.0,3.62,3.5,3.62,3.75,2.62,2.5,1.0,0.0,1.0,0.0,1.0,0.0,2.75,2.75,1.12,0.25,2.0,1.88,2.12,2.0,1.25,0.38,3.75,3.75,3.62,3.62
43-4021.00,Correspondence Clerks,written_expression|written_comprehension|oral_comprehension|oral_expression|near_vision|problem_sensitivity|speech_clarity|deductive_reasoning|information_ordering|speech_recognition|inductive_reasoning|category_flexibility|selective_attention|fluency_of_ideas|originality|number_facility|flexibility_of_closure|mathematical_reasoning|speed_of_closure|perceptual_speed|far_vision|time_sharing|memorization|wrist-finger_speed|visualization|auditory_attention|finger_dexterity|trunk_strength|visual_color_discrimination|hearing_sensitivity|depth_perception|arm-hand_steadiness|manual_dexterity|dynamic_strength|control_precision|spatial_orientation|sound_localization|glare_sensitivity|peripheral_vision|night_vision|gross_body_coordination|gross_body_equilibrium|multilimb_coordination|dynamic_flexibility|extent_flexibility|stamina|explosive_strength|static_strength|speed_of_limb_movement|reaction_time|rate_control|response_orientation,written_expression|written_comprehension|oral_comprehension|oral_expression|near_vision|selective_attention|fluency_of_ideas|speech_recognition|problem_sensitivity|deductive_reasoning|inductive_reasoning|information_ordering|category_flexibility|speech_clarity|originality|speed_of_closure|number_facility|flexibility_of_closure|mathematical_reasoning|far_vision|perceptual_speed|visualization|memorization|time_sharing|wrist-finger_speed|auditory_attention|trunk_strength|finger_dexterity|visual_color_discrimination|hearing_sensitivity|depth_perception|dynamic_strength|arm-hand_steadiness|manual_dexterity|explosive_strength|static_strength|spatial_orientation|sound_localization|glare_sensitivity|control_precision|peripheral_vision|night_vision|multilimb_coordination|rate_control|reaction_time|gross_body_equilibrium|gross_body_coordination|dynamic_flexibility|extent_flexibility|stamina|speed_of_limb_movement|response_orientation,1.12,0.12,1.88,1.5,3.0,3.0,1.0,0.0,3.25,3.0,1.25,0.25,1.0,0.0,1.12,0.12,1.0,0.0,1.0,0.0,2.5,2.25,1.75,1.12,2.75,2.62,3.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,1.62,0.75,3.12,3.0,3.25,3.0,1.12,0.12,2.62,2.62,2.12,2.0,1.0,0.0,3.62,3.62,1.0,0.0,2.75,2.62,3.75,3.88,3.62,3.88,2.88,2.75,2.5,2.12,1.0,0.0,3.38,3.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,1.0,0.0,3.38,2.88,3.12,3.0,2.62,2.62,1.0,0.0,1.0,0.0,1.0,0.0,2.25,1.88,1.75,1.25,1.75,1.0,2.0,2.0,2.0,1.62,4.0,4.0,4.12,4.0
