ONET_SOC_CODE,title,essential_skills_importance_ranked,essential_skills_level_ranked,essential_skills_reading_comprehension_importance,essential_skills_reading_comprehension_level,essential_skills_active_listening_importance,essential_skills_active_listening_level,essential_skills_writing_importance,essential_skills_writing_level,essential_skills_speaking_importance,essential_skills_speaking_level,essential_skills_mathematics_importance,essential_skills_mathematics_level,essential_skills_science_importance,essential_skills_science_level,essential_skills_critical_thinking_importance,essential_skills_critical_thinking_level,essential_skills_active_learning_importance,essential_skills_active_learning_level,essential_skills_learning_strategies_importance,essential_skills_learning_strategies_level,essential_skills_monitoring_importance,essential_skills_monitoring_level
17-2121.00,Marine Engineers and Naval Architects,critical_thinking|reading_comprehension|active_listening|writing|speaking|mathematics|science|active_learning|monitoring|learning_strategies,reading_comprehension|critical_thinking|mathematics|science|writing|speaking|active_learning|active_listening|monitoring|learning_strategies,3.88,4.5,3.75,3.88,3.75,4.0,3.75,4.0,3.62,4.25,3.5,4.12,4.12,4.38,3.5,4.0,2.88,3.25,3.38,3.75
17-2131.00,Materials Engineers,reading_comprehension|active_listening|writing|speaking|mathematics|science|critical_thinking|active_learning|monitoring|learning_strategies,reading_comprehension|science|active_learning|writing|speaking|active_listening|mathematics|critical_thinking|monitoring|learning_strategies,4.0,5.0,4.0,4.38,4.0,4.5,4.0,4.5,4.0,4.38,4.0,4.88,4.0,4.38,3.75,4.75,3.0,3.5,3.25,4.0
17-2141.00,Mechanical Engineers,reading_comprehension|active_listening|critical_thinking|mathematics|science|active_learning|writing|speaking|monitoring|learning_strategies,reading_comprehension|mathematics|science|active_learning|critical_thinking|monitoring|active_listening|writing|speaking|learning_strategies,3.88,4.75,3.88,4.0,3.38,4.0,3.38,3.88,3.75,4.5,3.75,4.5,3.88,4.12,3.5,4.25,2.88,3.38,3.25,4.12
17-2141.01,Fuel Cell Engineers,reading_comprehension|critical_thinking|writing|speaking|science|active_listening|active_learning|monitoring|mathematics|learning_strategies,reading_comprehension|critical_thinking|active_listening|writing|mathematics|speaking|science|active_learning|monitoring|learning_strategies,4.0,4.75,3.62,4.12,3.75,4.12,3.75,4.0,3.5,4.12,3.75,4.0,4.0,4.25,3.62,4.0,3.12,3.12,3.62,4.0
17-2141.02,Automotive Engineers,critical_thinking|reading_comprehension|writing|speaking|mathematics|active_listening|active_learning|science|monitoring|learning_strategies,mathematics|reading_comprehension|critical_thinking|active_learning|writing|science|active_listening|speaking|monitoring|learning_strategies,4.0,4.75,3.75,4.0,3.88,4.12,3.88,3.88,3.88,4.88,3.25,4.12,4.12,4.75,3.38,4.5,2.88,3.0,3.12,3.75
17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",reading_comprehension|writing|speaking|critical_thinking|active_listening|mathematics|monitoring|science|active_learning|learning_strategies,reading_comprehension|mathematics|critical_thinking|monitoring|writing|speaking|active_learning|active_listening|science|learning_strategies,4.0,4.75,3.88,4.0,4.0,4.25,4.0,4.12,3.75,4.62,3.5,4.0,4.0,4.5,3.5,4.12,3.12,3.38,3.75,4.5
17-2161.00,Nuclear Engineers,science|critical_thinking|reading_comprehension|active_listening|writing|mathematics|monitoring|active_learning|speaking|learning_strategies,reading_comprehension|critical_thinking|writing|mathematics|science|active_listening|monitoring|active_learning|speaking|learning_strategies,4.0,5.0,4.0,4.25,4.0,4.75,3.75,3.88,4.0,4.38,4.12,4.38,4.12,4.88,3.88,4.0,3.0,3.12,4.0,4.12
17-2171.00,Petroleum Engineers,reading_comprehension|critical_thinking|active_listening|writing|speaking|active_learning|monitoring|science|mathematics|learning_strategies,reading_comprehension|critical_thinking|writing|active_listening|speaking|mathematics|science|active_learning|monitoring|learning_strategies,4.0,4.75,3.88,4.0,3.88,4.25,3.88,4.0,3.25,4.0,3.38,4.0,4.0,4.38,3.75,3.88,3.0,3.0,3.75,3.88
17-2199.03,"Energy Engineers, Except Wind and Solar",reading_comprehension|active_listening|writing|critical_thinking|active_learning|speaking|mathematics|science|monitoring|learning_strategies,reading_comprehension|science|writing|mathematics|critical_thinking|active_listening|speaking|active_learning|monitoring|learning_strategies,4.12,4.88,4.0,4.12,4.0,4.25,3.88,4.12,3.88,4.25,3.88,4.62,4.0,4.25,4.0,4.12,2.88,3.0,3.88,4.12
17-2199.05,Mechatronics Engineers,reading_comprehension|writing|critical_thinking|active_listening|speaking|mathematics|monitoring|science|active_learning|learning_strategies,reading_comprehension|active_listening|writing|mathematics|critical_thinking|active_learning|speaking|monitoring|science|learning_strategies,3.75,4.12,3.62,4.0,3.75,4.0,3.5,3.88,3.38,4.0,3.12,3.25,3.75,4.0,3.12,4.0,3.12,3.12,3.38,3.88
17-2199.06,Microsystems Engineers,reading_comprehension|active_listening|critical_thinking|writing|speaking|science|monitoring|active_learning|mathematics|learning_strategies,reading_comprehension|active_listening|critical_thinking|writing|speaking|mathematics|science|active_learning|monitoring|learning_strategies,4.0,4.75,4.0,4.25,3.75,4.0,3.62,4.0,3.38,3.88,3.62,3.88,4.0,4.12,3.5,3.88,3.25,3.38,3.62,3.75
17-2199.07,Photonics Engineers,critical_thinking|reading_comprehension|writing|active_listening|speaking|mathematics|active_learning|science|learning_strategies|monitoring,reading_comprehension|active_learning|mathematics|writing|critical_thinking|active_listening|speaking|science|monitoring|learning_strategies,3.88,5.0,3.75,4.12,3.88,4.75,3.62,4.0,3.62,4.88,3.5,4.0,4.0,4.75,3.62,5.0,3.0,3.25,3.0,3.62
17-2199.08,Robotics Engineers,critical_thinking|reading_comprehension|active_listening|monitoring|writing|mathematics|active_learning|learning_strategies|speaking|science,reading_comprehension|mathematics|critical_thinking|active_learning|active_listening|writing|speaking|monitoring|science|learning_strategies,3.88,4.88,3.88,4.0,3.75,3.88,3.25,3.88,3.75,4.62,3.12,3.75,4.0,4.62,3.75,4.5,3.38,3.75,3.88,3.88
17-2199.09,Nanosystems Engineers,reading_comprehension|speaking|science|critical_thinking|active_listening|writing|mathematics|active_learning|monitoring|learning_strategies,reading_comprehension|critical_thinking|active_learning|mathematics|science|writing|speaking|monitoring|active_listening|learning_strategies,4.0,5.0,3.88,3.88,3.88,4.62,4.0,4.25,3.88,4.75,4.0,4.75,4.0,4.88,3.88,4.88,3.0,3.5,3.5,4.0
17-2199.10,Wind Energy Engineers,critical_thinking|reading_comprehension|mathematics|active_listening|writing|speaking|science|monitoring|active_learning|learning_strategies,reading_comprehension|mathematics|critical_thinking|monitoring|active_listening|writing|science|active_learning|speaking|learning_strategies,3.75,4.62,3.38,3.75,3.38,3.75,3.38,3.5,3.5,4.5,3.25,3.75,4.0,4.5,3.0,3.75,2.75,2.88,3.12,4.0
17-2199.11,Solar Energy Systems Engineers,reading_comprehension|critical_thinking|writing|speaking|active_listening|mathematics|science|active_learning|monitoring|learning_strategies,reading_comprehension|active_listening|writing|speaking|mathematics|critical_thinking|science|active_learning|monitoring|learning_strategies,4.0,4.12,3.75,4.0,3.88,4.0,3.88,4.0,3.38,4.0,3.25,3.88,4.0,4.0,3.25,3.88,2.88,3.0,3.25,3.62
17-3011.00,Architectural and Civil Drafters,reading_comprehension|critical_thinking|active_listening|writing|speaking|monitoring|mathematics|active_learning|learning_strategies|science,reading_comprehension|critical_thinking|active_listening|writing|speaking|active_learning|monitoring|mathematics|learning_strategies|science,3.75,3.88,3.5,3.62,3.25,3.5,3.25,3.25,3.12,3.12,2.12,1.62,3.62,3.75,3.12,3.25,2.62,3.0,3.25,3.25
17-3012.00,Electrical and Electronics Drafters,active_listening|writing|critical_thinking|reading_comprehension|speaking|active_learning|monitoring|mathematics|learning_strategies|science,reading_comprehension|critical_thinking|active_listening|writing|mathematics|speaking|active_learning|monitoring|learning_strategies|science,3.38,3.88,3.62,3.5,3.5,3.5,3.25,3.25,2.75,3.5,1.88,1.25,3.5,3.62,3.25,3.12,2.62,2.62,3.0,3.0
17-3013.00,Mechanical Drafters,critical_thinking|reading_comprehension|active_listening|mathematics|active_learning|speaking|writing|monitoring|learning_strategies|science,reading_comprehension|speaking|mathematics|active_listening|critical_thinking|active_learning|writing|learning_strategies|monitoring|science,3.25,3.88,3.25,3.62,3.0,3.12,3.12,3.75,3.25,3.75,1.88,1.38,3.38,3.62,3.25,3.5,2.75,3.12,3.0,3.12
17-3021.00,Aerospace Engineering and Operations Technologists and Technicians,critical_thinking|reading_comprehension|active_listening|speaking|writing|science|monitoring|mathematics|active_learning|learning_strategies,critical_thinking|active_listening|reading_comprehension|science|writing|speaking|monitoring|mathematics|active_learning|learning_strategies,3.75,3.75,3.62,3.88,3.12,3.12,3.62,3.12,3.0,3.0,3.12,3.75,3.88,4.0,3.0,3.0,2.88,2.88,3.12,3.12
17-3022.00,Civil Engineering Technologists and Technicians,critical_thinking|reading_comprehension|active_listening|mathematics|speaking|writing|monitoring|active_learning|science|learning_strategies,reading_comprehension|active_listening|critical_thinking|writing|speaking|mathematics|monitoring|active_learning|science|learning_strategies,3.75,4.12,3.75,4.0,3.25,3.5,3.38,3.5,3.62,3.38,2.75,2.62,3.88,3.62,2.88,3.0,2.25,2.62,3.25,3.38
17-3023.00,Electrical and Electronic Engineering Technologists and Technicians,reading_comprehension|critical_thinking|active_listening|speaking|writing|monitoring|active_learning|mathematics|learning_strategies|science,reading_comprehension|critical_thinking|active_listening|active_learning|writing|speaking|mathematics|monitoring|learning_strategies|science,3.88,4.12,3.38,3.38,3.25,3.25,3.38,3.12,2.88,3.0,2.12,1.75,3.75,3.62,3.12,3.38,2.62,2.75,3.25,3.0
17-3024.00,Electro-Mechanical and Mechatronics Technologists and Technicians,monitoring|critical_thinking|reading_comprehension|active_listening|writing|speaking|active_learning|mathematics|learning_strategies|science,reading_comprehension|monitoring|critical_thinking|active_listening|active_learning|writing|speaking|mathematics|science|learning_strategies,3.25,4.0,3.12,3.38,3.12,3.12,3.12,3.12,2.88,3.0,2.75,3.0,3.62,3.75,3.12,3.25,2.88,3.0,3.75,4.0
17-3024.01,Robotics Technicians,reading_comprehension|critical_thinking|active_listening|writing|speaking|active_learning|monitoring|mathematics|learning_strategies|science,reading_comprehension|critical_thinking|mathematics|active_listening|active_learning|speaking|science|monitoring|writing|learning_strategies,3.88,4.0,3.75,3.62,3.25,3.12,3.25,3.25,3.0,3.75,2.75,3.25,3.88,4.0,3.12,3.62,3.0,3.12,3.12,3.25
17-3025.00,Environmental Engineering Technologists and Technicians,reading_comprehension|active_listening|critical_thinking|active_learning|speaking|science|monitoring|writing|mathematics|learning_strategies,reading_comprehension|active_listening|speaking|critical_thinking|writing|active_learning|mathematics|science|monitoring|learning_strategies,3.88,4.0,3.88,4.0,3.12,3.88,3.38,4.0,3.0,3.75,3.38,3.75,3.88,4.0,3.75,3.88,3.0,3.0,3.38,3.75
17-3026.00,Industrial Engineering Technologists and Technicians,reading_comprehension|active_listening|critical_thinking|writing|speaking|mathematics|active_learning|monitoring|science|learning_strategies,critical_thinking|reading_comprehension|active_listening|writing|monitoring|speaking|mathematics|active_learning|science|learning_strategies,3.88,3.88,3.88,3.88,3.12,3.88,3.12,3.75,3.12,3.75,3.0,3.25,3.88,4.0,3.12,3.62,2.75,2.88,3.12,3.88
17-3026.01,Nanotechnology Engineering Technologists and Technicians,reading_comprehension|critical_thinking|writing|active_listening|science|speaking|mathematics|active_learning|monitoring|learning_strategies,reading_comprehension|writing|science|critical_thinking|active_listening|mathematics|active_learning|monitoring|speaking|learning_strategies,4.12,4.62,3.62,3.75,3.75,4.12,3.38,3.5,3.38,3.75,3.62,4.0,4.0,3.88,3.38,3.75,3.0,3.38,3.38,3.75
17-3027.00,Mechanical Engineering Technologists and Technicians,reading_comprehension|active_listening|critical_thinking|speaking|writing|mathematics|active_learning|monitoring|science|learning_strategies,reading_comprehension|active_listening|critical_thinking|speaking|writing|mathematics|science|active_learning|monitoring|learning_strategies,3.75,4.25,3.75,3.88,3.5,3.62,3.62,3.75,3.25,3.38,3.0,3.25,3.75,3.88,3.12,3.25,2.75,3.0,3.12,3.12
17-3027.01,Automotive Engineering Technicians,reading_comprehension|speaking|critical_thinking|active_listening|writing|mathematics|monitoring|active_learning|science|learning_strategies,reading_comprehension|active_listening|speaking|mathematics|critical_thinking|monitoring|writing|active_learning|science|learning_strategies,3.62,4.0,3.25,3.38,3.25,3.25,3.5,3.38,3.12,3.38,2.62,3.0,3.5,3.38,3.0,3.12,2.38,2.62,3.12,3.38
17-3029.01,Non-Destructive Testing Specialists,reading_comprehension|active_listening|critical_thinking|monitoring|writing|active_learning|speaking|mathematics|learning_strategies|science,reading_comprehension|critical_thinking|active_learning|monitoring|active_listening|learning_strategies|writing|speaking|mathematics|science,3.88,3.88,3.62,3.38,3.25,3.12,3.12,3.12,3.12,3.12,3.0,3.0,3.5,3.62,3.25,3.62,3.12,3.25,3.38,3.62
17-3029.08,Photonics Technicians,reading_comprehension|active_listening|critical_thinking|active_learning|monitoring|writing|speaking|mathematics|learning_strategies|science,reading_comprehension|critical_thinking|active_listening|active_learning|monitoring|writing|speaking|mathematics|learning_strategies|science,3.5,3.75,3.38,3.5,3.12,3.12,3.12,3.12,2.75,3.0,2.5,2.38,3.38,3.62,3.25,3.38,2.75,2.88,3.25,3.25
17-3031.00,Surveying and Mapping Technicians,reading_comprehension|critical_thinking|mathematics|active_listening|monitoring|speaking|writing|active_learning|learning_strategies|science,reading_comprehension|mathematics|critical_thinking|monitoring|active_learning|active_listening|speaking|learning_strategies|writing|science,3.62,3.75,3.12,3.0,2.88,2.88,3.0,3.0,3.25,3.62,2.38,2.12,3.5,3.62,2.88,3.12,2.75,3.0,3.12,3.25
19-1011.00,Animal Scientists,reading_comprehension|writing|science|critical_thinking|active_listening|speaking|active_learning|monitoring|mathematics|learning_strategies,reading_comprehension|writing|critical_thinking|speaking|active_listening|science|active_learning|mathematics|monitoring|learning_strategies,4.12,4.88,3.88,4.0,4.0,4.25,3.88,4.12,3.38,3.88,4.0,4.0,4.0,4.25,3.88,4.0,3.25,3.25,3.75,3.88
19-1012.00,Food Scientists and Technologists,reading_comprehension|critical_thinking|active_learning|active_listening|writing|speaking|science|monitoring|mathematics|learning_strategies,reading_comprehension|critical_thinking|active_listening|writing|active_learning|speaking|science|monitoring|mathematics|learning_strategies,4.0,4.62,3.88,4.12,3.88,4.12,3.88,4.0,3.12,3.5,3.88,3.88,4.0,4.5,4.0,4.12,3.0,3.38,3.62,3.88
19-1013.00,Soil and Plant Scientists,reading_comprehension|speaking|science|critical_thinking|active_learning|active_listening|writing|mathematics|learning_strategies|monitoring,reading_comprehension|science|speaking|active_learning|writing|critical_thinking|active_listening|monitoring|mathematics|learning_strategies,4.0,5.0,3.88,4.12,3.88,4.38,4.0,4.62,3.25,3.88,4.0,4.88,4.0,4.38,4.0,4.5,3.25,3.88,3.25,4.12
19-1021.00,Biochemists and Biophysicists,science|reading_comprehension|writing|critical_thinking|active_listening|speaking|active_learning|learning_strategies|mathematics|monitoring,reading_comprehension|active_learning|writing|science|critical_thinking|mathematics|speaking|active_listening|learning_strategies|monitoring,4.38,5.25,4.12,4.38,4.25,5.12,4.12,4.62,3.88,4.75,4.75,5.12,4.25,5.12,4.12,5.25,4.0,4.38,3.88,4.25
19-1022.00,Microbiologists,science|reading_comprehension|writing|critical_thinking|active_listening|speaking|active_learning|learning_strategies|monitoring|mathematics,reading_comprehension|science|writing|critical_thinking|active_learning|active_listening|speaking|mathematics|monitoring|learning_strategies,4.12,5.12,3.88,4.12,4.0,4.88,3.88,4.0,3.12,3.88,4.62,5.0,4.0,4.62,3.88,4.5,3.62,3.75,3.62,3.88
19-1023.00,Zoologists and Wildlife Biologists,reading_comprehension|active_listening|writing|speaking|science|critical_thinking|active_learning|monitoring|mathematics|learning_strategies,reading_comprehension|writing|speaking|active_listening|science|critical_thinking|active_learning|monitoring|mathematics|learning_strategies,4.0,5.0,4.0,4.0,4.0,4.25,4.0,4.12,3.12,3.12,4.0,4.0,3.88,4.0,3.88,3.88,3.12,3.12,3.25,3.75
19-1029.01,Bioinformatics Scientists,reading_comprehension|active_listening|writing|speaking|science|critical_thinking|mathematics|active_learning|monitoring|learning_strategies,reading_comprehension|writing|critical_thinking|active_listening|speaking|mathematics|active_learning|science|monitoring|learning_strategies,4.38,5.12,4.0,4.5,4.0,4.88,4.0,4.5,3.88,4.38,4.0,4.25,4.0,4.75,3.88,4.38,3.0,3.75,3.38,4.0
19-1029.02,Molecular and Cellular Biologists,science|reading_comprehension|writing|critical_thinking|active_listening|speaking|active_learning|learning_strategies|mathematics|monitoring,reading_comprehension|writing|science|critical_thinking|speaking|active_listening|active_learning|learning_strategies|mathematics|monitoring,4.38,5.62,4.0,4.62,4.25,5.0,4.0,4.75,3.75,4.38,4.75,5.0,4.12,4.88,3.88,4.62,3.88,4.5,3.75,4.38
19-1029.03,Geneticists,reading_comprehension|science|active_listening|writing|speaking|critical_thinking|active_learning|mathematics|learning_strategies|monitoring,reading_comprehension|writing|science|critical_thinking|speaking|active_learning|active_listening|mathematics|learning_strategies|monitoring,4.25,5.0,4.0,4.0,4.0,4.88,4.0,4.12,3.88,4.0,4.12,4.38,4.0,4.38,4.0,4.12,3.88,3.88,3.75,3.88
19-1029.04,Biologists,science|reading_comprehension|writing|active_listening|speaking|critical_thinking|mathematics|active_learning|learning_strategies|monitoring,reading_comprehension|writing|science|critical_thinking|speaking|active_learning|mathematics|active_listening|monitoring|learning_strategies,4.12,5.12,4.0,4.12,4.12,5.0,4.0,4.75,3.88,4.25,4.62,5.0,4.0,4.88,3.88,4.75,3.12,3.75,3.0,4.0
19-1031.00,Conservation Scientists,reading_comprehension|active_listening|speaking|writing|science|critical_thinking|active_learning|monitoring|mathematics|learning_strategies,reading_comprehension|writing|active_listening|speaking|critical_thinking|science|active_learning|monitoring|mathematics|learning_strategies,3.88,3.88,3.88,3.75,3.5,3.88,3.62,3.75,3.12,3.12,3.5,3.5,3.5,3.75,3.25,3.38,2.88,2.88,3.25,3.25
19-1031.02,Range Managers,reading_comprehension|active_listening|speaking|critical_thinking|monitoring|writing|active_learning|science|mathematics|learning_strategies,monitoring|reading_comprehension|active_listening|speaking|critical_thinking|active_learning|writing|science|mathematics|learning_strategies,4.0,4.25,4.0,4.12,3.38,3.75,4.0,4.0,3.0,3.12,3.12,3.25,3.88,4.0,3.25,4.0,2.88,2.88,3.88,4.38
19-1031.03,Park Naturalists,speaking|active_listening|writing|reading_comprehension|critical_thinking|monitoring|active_learning|learning_strategies|science|mathematics,speaking|reading_comprehension|active_listening|writing|critical_thinking|active_learning|monitoring|learning_strategies|mathematics|science,3.75,4.0,3.88,4.0,3.88,3.88,4.0,4.12,2.0,2.0,2.12,2.0,3.75,3.75,3.12,3.25,3.0,3.12,3.25,3.25
19-1032.00,Foresters,reading_comprehension|speaking|critical_thinking|monitoring|active_listening|writing|active_learning|mathematics|science|learning_strategies,reading_comprehension|writing|speaking|critical_thinking|monitoring|active_listening|active_learning|mathematics|science|learning_strategies,4.0,4.25,3.88,4.0,3.75,4.12,4.0,4.12,3.0,3.62,3.0,3.12,4.0,4.12,3.25,4.0,3.0,3.0,4.0,4.12
19-1041.00,Epidemiologists,reading_comprehension|critical_thinking|active_listening|writing|speaking|science|active_learning|mathematics|monitoring|learning_strategies,reading_comprehension|science|active_listening|speaking|active_learning|writing|critical_thinking|monitoring|mathematics|learning_strategies,4.25,5.12,4.12,4.75,4.12,4.62,4.12,4.75,3.75,4.12,4.12,5.0,4.25,4.62,4.0,4.75,3.5,3.88,3.62,4.25
19-1042.00,"Medical Scientists, Except Epidemiologists",writing|speaking|science|active_learning|reading_comprehension|active_listening|critical_thinking|mathematics|monitoring|learning_strategies,reading_comprehension|science|active_learning|writing|critical_thinking|speaking|active_listening|mathematics|monitoring|learning_strategies,4.0,5.25,4.0,4.25,4.25,4.88,4.12,4.38,3.62,4.12,4.12,5.0,4.0,4.75,4.12,5.0,3.38,3.88,3.62,4.12
19-2011.00,Astronomers,reading_comprehension|science|writing|mathematics|critical_thinking|active_listening|speaking|active_learning|learning_strategies|monitoring,reading_comprehension|science|writing|mathematics|active_learning|speaking|active_listening|critical_thinking|learning_strategies|monitoring,4.25,5.12,4.0,4.12,4.12,5.0,4.0,4.75,4.12,5.0,4.25,5.12,4.12,4.12,4.0,4.88,3.75,4.0,3.38,3.62
19-2012.00,Physicists,science|critical_thinking|reading_comprehension|speaking|mathematics|active_learning|writing|active_listening|learning_strategies|monitoring,reading_comprehension|mathematics|science|active_learning|learning_strategies|writing|critical_thinking|speaking|active_listening|monitoring,4.5,5.88,4.12,4.75,4.38,5.0,4.5,4.88,4.5,5.88,4.88,5.88,4.62,5.0,4.5,5.75,4.0,5.12,3.75,4.12
19-2021.00,Atmospheric and Space Scientists,reading_comprehension|active_listening|speaking|science|critical_thinking|active_learning|writing|mathematics|learning_strategies|monitoring,reading_comprehension|science|speaking|active_listening|critical_thinking|active_learning|writing|mathematics|monitoring|learning_strategies,4.12,4.88,4.0,4.25,3.88,4.0,4.0,4.38,3.38,4.0,4.0,4.88,4.0,4.12,4.0,4.12,3.12,3.38,3.12,3.5
19-2031.00,Chemists,science|reading_comprehension|critical_thinking|speaking|active_listening|writing|mathematics|active_learning|monitoring|learning_strategies,science|reading_comprehension|writing|mathematics|critical_thinking|active_learning|speaking|active_listening|monitoring|learning_strategies,4.0,5.0,3.75,4.0,3.75,4.62,3.88,4.12,3.75,4.5,4.12,5.12,4.0,4.25,3.62,4.25,3.0,3.0,3.5,3.88
19-2032.00,Materials Scientists,reading_comprehension|active_listening|science|critical_thinking|writing|speaking|active_learning|mathematics|monitoring|learning_strategies,science|reading_comprehension|writing|critical_thinking|active_listening|speaking|active_learning|monitoring|mathematics|learning_strategies,4.0,4.75,4.0,4.12,3.88,4.38,3.75,4.12,3.5,3.88,4.0,4.88,4.0,4.25,3.75,4.0,3.0,3.38,3.12,4.0
19-2041.00,"Environmental Scientists and Specialists, Including Health",reading_comprehension|active_listening|writing|speaking|science|critical_thinking|active_learning|monitoring|mathematics|learning_strategies,reading_comprehension|writing|science|active_listening|critical_thinking|speaking|mathematics|active_learning|monitoring|learning_strategies,4.0,4.75,4.0,4.25,4.0,4.62,4.0,4.12,3.25,4.12,4.0,4.5,3.88,4.25,3.75,4.0,3.25,3.62,3.62,4.0
19-2041.01,Climate Change Policy Analysts,reading_comprehension|active_listening|critical_thinking|writing|speaking|active_learning|monitoring|mathematics|learning_strategies|science,reading_comprehension|speaking|writing|critical_thinking|active_listening|active_learning|monitoring|mathematics|learning_strategies|science,4.25,4.25,4.0,3.88,3.88,4.12,3.88,4.25,3.0,3.25,2.62,2.75,4.0,4.0,3.75,3.88,3.0,3.12,3.12,3.75
19-2041.02,Environmental Restoration Planners,critical_thinking|reading_comprehension|active_listening|writing|speaking|monitoring|science|active_learning|mathematics|learning_strategies,reading_comprehension|writing|active_listening|speaking|critical_thinking|active_learning|science|monitoring|mathematics|learning_strategies,3.88,4.25,3.88,4.12,3.88,4.25,3.88,4.12,3.25,3.38,3.5,3.88,4.0,4.12,3.5,4.0,3.0,3.25,3.75,3.88
19-2041.03,Industrial Ecologists,reading_comprehension|active_listening|writing|speaking|critical_thinking|science|active_learning|mathematics|monitoring|learning_strategies,reading_comprehension|writing|critical_thinking|science|active_listening|speaking|mathematics|active_learning|monitoring|learning_strategies,4.12,4.75,4.0,4.0,4.0,4.62,4.0,4.0,3.38,4.0,3.62,4.12,3.88,4.25,3.62,4.0,3.0,3.5,3.12,3.88
19-2042.00,"Geoscientists, Except Hydrologists and Geographers",reading_comprehension|science|writing|speaking|critical_thinking|active_listening|mathematics|active_learning|learning_strategies|monitoring,reading_comprehension|writing|science|active_listening|speaking|critical_thinking|mathematics|active_learning|monitoring|learning_strategies,4.25,5.12,3.88,4.25,4.0,4.88,4.0,4.25,3.5,4.12,4.25,4.75,4.0,4.25,3.38,4.0,3.12,3.12,3.0,3.25
19-2043.00,Hydrologists,critical_thinking|reading_comprehension|active_listening|mathematics|science|writing|speaking|active_learning|monitoring|learning_strategies,reading_comprehension|critical_thinking|active_learning|science|active_listening|writing|mathematics|speaking|monitoring|learning_strategies,3.88,4.88,3.88,4.12,3.75,4.12,3.75,4.0,3.88,4.12,3.88,4.38,4.12,4.75,3.75,4.5,3.0,3.12,3.25,3.75
19-2099.01,Remote Sensing Scientists and Technologists,reading_comprehension|critical_thinking|active_listening|writing|speaking|science|mathematics|active_learning|monitoring|learning_strategies,reading_comprehension|writing|critical_thinking|speaking|mathematics|active_listening|science|active_learning|monitoring|learning_strategies,4.0,4.75,3.88,4.0,3.88,4.62,3.88,4.25,3.75,4.12,3.88,4.0,4.0,4.38,3.38,4.0,3.12,3.12,3.38,3.88
19-3011.00,Economists,reading_comprehension|mathematics|critical_thinking|active_listening|writing|speaking|active_learning|learning_strategies|monitoring|science,reading_comprehension|critical_thinking|writing|speaking|mathematics|active_learning|active_listening|learning_strategies|monitoring|science,4.12,4.75,4.0,4.0,4.0,4.38,4.0,4.38,4.12,4.25,1.88,1.75,4.12,4.75,3.75,4.12,3.12,3.75,3.12,3.62
19-3011.01,Environmental Economists,writing|reading_comprehension|active_listening|mathematics|critical_thinking|active_learning|speaking|monitoring|learning_strategies|science,reading_comprehension|mathematics|writing|active_listening|critical_thinking|speaking|active_learning|learning_strategies|monitoring|science,4.0,4.75,4.0,4.25,4.12,4.38,3.5,4.12,4.0,4.75,2.38,2.62,4.0,4.25,3.88,4.0,3.25,3.75,3.5,3.75
19-3022.00,Survey Researchers,reading_comprehension|active_listening|writing|speaking|critical_thinking|mathematics|active_learning|learning_strategies|monitoring|science,critical_thinking|reading_comprehension|mathematics|writing|active_listening|speaking|active_learning|learning_strategies|monitoring|science,4.25,4.62,4.25,4.38,4.25,4.5,4.25,4.25,4.0,4.62,2.88,3.0,4.25,4.88,3.88,4.25,3.25,3.5,3.12,3.5
19-3032.00,Industrial-Organizational Psychologists,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|monitoring|science|learning_strategies|mathematics,writing|reading_comprehension|active_listening|speaking|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,4.38,4.75,4.38,4.62,4.25,4.88,4.12,4.62,3.5,3.88,3.75,3.88,4.12,4.5,3.88,4.12,3.62,4.0,3.88,4.25
19-3033.00,Clinical and Counseling Psychologists,reading_comprehension|active_listening|writing|critical_thinking|speaking|active_learning|monitoring|learning_strategies|science|mathematics,active_listening|reading_comprehension|critical_thinking|writing|speaking|active_learning|monitoring|learning_strategies|mathematics|science,4.75,4.38,4.25,4.88,4.25,4.25,4.12,4.25,2.25,2.12,2.38,2.0,4.25,4.38,3.88,3.88,3.62,3.5,3.75,3.88
19-3034.00,School Psychologists,reading_comprehension|speaking|active_listening|writing|critical_thinking|monitoring|active_learning|learning_strategies|mathematics|science,reading_comprehension|active_listening|writing|speaking|critical_thinking|learning_strategies|monitoring|active_learning|mathematics|science,4.62,4.88,4.5,4.88,4.12,4.5,4.62,4.5,2.88,2.88,2.5,2.75,4.12,4.25,3.88,4.12,3.88,4.25,4.0,4.25
19-3039.02,Neuropsychologists,reading_comprehension|active_listening|writing|speaking|critical_thinking|active_learning|science|monitoring|learning_strategies|mathematics,reading_comprehension|writing|speaking|active_listening|critical_thinking|active_learning|learning_strategies|monitoring|science|mathematics,4.5,5.38,4.5,4.62,4.38,4.75,4.25,4.75,3.0,3.38,3.62,3.88,4.25,4.62,3.88,4.38,3.5,4.25,3.62,4.12
19-3039.03,Clinical Neuropsychologists,active_listening|critical_thinking|reading_comprehension|speaking|writing|active_learning|monitoring|learning_strategies|mathematics|science,reading_comprehension|active_listening|writing|critical_thinking|active_learning|speaking|learning_strategies|monitoring|mathematics|science,4.12,4.75,4.38,4.5,3.88,4.38,4.0,4.0,2.62,2.88,2.62,2.88,4.25,4.38,3.75,4.38,3.5,3.88,3.62,3.88
