ISCO-08 Code,ISCO-08 Title EN,O*NET-SOC 2019 Code,O*NET-SOC 2019 Title
7412,Electrical mechanics and fitters,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7413,Electrical line installers and repairers ,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7421,Electronics mechanics and servicers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7422,Information and communications technology installers and servicers,49-1011.00,"First-Line Supervisors of Mechanics, Installers, and Repairers"
7511,"Butchers, fishmongers and related food preparers",51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers"
7513,Dairy-products makers,51-3092.00,Food Batchmakers
7514,"Fruit, vegetable and related preservers",51-3099.00,"Food Processing Workers, All Other"
7515,Food and beverage tasters and graders,45-2041.00,"Graders and Sorters, Agricultural Products"
7516,Tobacco preparers and tobacco products makers,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
7521,Wood treaters,51-9051.00,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
7522,Cabinet-makers and related workers,51-7011.00,Cabinetmakers and Bench Carpenters
7532,Garment and related pattern-makers and cutters,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders"
7533,"Sewing, embroidery and related workers",51-6041.00,Shoe and Leather Workers and Repairers
7535,"Pelt dressers, tanners and fellmongers",45-2041.00,"Graders and Sorters, Agricultural Products"
7544,Fumigators and other pest and weed controllers,37-1012.00,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers"
7549,Craft and related workers not elsewhere classified,27-1023.00,Floral Designers
8111,Miners and quarriers,47-5022.00,"Excavating and Loading Machine and Dragline Operators, Surface Mining"
8112,Mineral and stone processing plant operators,51-9021.00,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
8113,Well drillers and borers and related workers,47-5071.00,"Roustabouts, Oil and Gas"
8114,"Cement, stone and other mineral products machine operators",51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
8121,Metal processing plant operators,51-4021.00,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic"
8122,"Metal finishing, plating and coating machine operators",51-9124.00,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
8131,Chemical products plant and machine operators,51-9011.00,Chemical Equipment Operators and Tenders
8141,Rubber products machine operators,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
8142,Plastic products machine operators,51-4031.00,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic"
8143,Paper products machine operators,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
8160,Food and related products machine operators,51-3092.00,Food Batchmakers
8171,Pulp and papermaking plant operators,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders"
8181,Glass and ceramics plant operators,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders"
8189,Stationary plant and machine operators not elsewhere classified,53-7011.00,Conveyor Operators and Tenders
8211,Mechanical machinery assemblers,51-2031.00,Engine and Other Machine Assemblers
8212,Electrical and electronic equipment assemblers,51-2022.00,Electrical and Electronic Equipment Assemblers
8219,Assemblers not elsewhere classified,51-2092.00,Team Assemblers
8311,Locomotive engine drivers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
8312,"Railway brake, signal and switch operators",53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
8321,Motorcycle drivers,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
8322,"Car, taxi and van drivers",53-3033.00,Light Truck Drivers
8331,Bus and tram drivers,53-3051.00,"Bus Drivers, School"
8332,Heavy truck and lorry drivers,53-3032.00,Heavy and Tractor-Trailer Truck Drivers
8341,Mobile farm and forestry plant operators,45-2091.00,Agricultural Equipment Operators
8342,Earthmoving and related plant operators,47-2073.00,Operating Engineers and Other Construction Equipment Operators
8343,"Crane, hoist and related plant operators",39-3091.00,Amusement and Recreation Attendants
8344,Lifting truck operators,53-7051.00,Industrial Truck and Tractor Operators
8350,Ships' deck crews and related workers,53-5011.00,Sailors and Marine Oilers
9112,"Cleaners and helpers in offices, hotels and other establishments",37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners"
9129,Other cleaning workers,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners
9211,Crop farm labourers,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
9212,Livestock farm labourers,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
9213,Mixed crop and livestock farm labourers,45-2092.00,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse"
9214,Garden and horticultural labourers,37-3011.00,Landscaping and Groundskeeping Workers
9215,Forestry labourers,45-4011.00,Forest and Conservation Workers
9216,Fishery and aquaculture labourers,45-2093.00,"Farmworkers, Farm, Ranch, and Aquacultural Animals"
9311,Mining and quarrying labourers,47-5081.00,Helpers--Extraction Workers
9312,Civil engineering labourers,47-4051.00,Highway Maintenance Workers
9313,Building construction labourers,47-2061.00,Construction Laborers
9329,Manufacturing labourers not elsewhere classified,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
9331,Hand and pedal vehicle drivers,43-5021.00,Couriers and Messengers
9332,Drivers of animal-drawn vehicles and machinery,53-6099.00,"Transportation Workers, All Other"
9333,Freight handlers,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand"
9411,Fast food preparers,35-2011.00,"Cooks, Fast Food"
9412,Kitchen helpers,35-2021.00,Food Preparation Workers
9611,Garbage and recycling collectors,53-1043.00,First-Line Supervisors of Material-Moving Machine and Vehicle Operators
9621,"Messengers, package deliverers and luggage porters",43-5021.00,Couriers and Messengers
9622,Odd job persons,49-9071.00,"Maintenance and Repair Workers, General"
9623,Meter readers and vending-machine collectors,43-5041.00,"Meter Readers, Utilities"
9629,Elementary workers not elsewhere classified,39-3091.00,Amusement and Recreation Attendants
0110,Commissioned armed forces officers,55-1016.00,Infantry Officers
0210,Non-commissioned armed forces officers,55-2013.00,First-Line Supervisors of All Other Tactical Operations Specialists
0310,"Armed forces occupations, other ranks",55-3016.00,Infantry
